"ID Ocorrencia","Data","Hora","Logradouro","Bairro","Natureza","Coordenadas","F1P","F2P","F3P","F4P","F5P","F6P","F7P","F8P","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","C10P"
"180026","2018-09-08","18:20","rua pinto d agua ","recanto dos passaros","colisão frontal",,,,"8",,,,,,,,,,,,,,,
"180027","2018-07-19","16:35","rua da peninsula numero ","coophavila ii","atropelamento",,,,"8",,,,,,,"10",,,,,,,,
"180028","2018-07-15","02:10","rua ceara rua santa barbara","centro","colisão transversal",,,"8",,,,,,,,,,,,,"10",,,
"180029","2018-05-05","18:57","rua fraiburgo ","vila cidade morena","colisão traseira",,"8",,,,,,,,,"10",,,,,,"6",,
"180030","2018-12-17","12:10","avenida fernando correa da costa n., logo apos avenida fabio","centro","colisão lateral",,,,,,,,,,,,,,,,,,,
"180031","2018-10-27","01:10","avenida afonso pena proximo a rua armando de olive","amambai","atropelamento",,,,,,,,,,,,,,,,,,,
"180032","2018-09-01","23:50","acesso da av. mascarenhas de moraes para av. ernesto geisel em cima do pontilhao",,"colisão transversal",,"8","10","4",,,,,,,,,,,,,,,
"180033","2018-07-25","05:45","avenida guaicurus 0/  oposto","jd itamaraca","choque",,,,,,,,,,,,,,,,,,,
"180034","2018-03-31","16:30","avenida jose barbosa rodrigues    ",,,,,"10",,,,,,,,,,,,,,,,"8"
"180035","2018-06-22","07:50","avenida guaicurus    ","jd itamaraca","colisão transversal",,,,,,,,,,,,,,"10",,,,,
"180036","2018-03-30","02:10","rua fraiburgo proximo a rua minas novas","vila cidade morena","choque",,"8","6",,,,,,,,"4",,,,,,,,
"180037","2018-05-03","06:53","avenida presidente vargas numero 0","vila santo amaro","atropelamento",,,,,,,,,,,,,,,,,,,
"180038","2018-05-17","10:00","rua fatima do sul ","vila sao jorge da lagoa","atropelamento",,,,,,,,,,,"10",,,,,,,,
"180039","2018-11-25","14:21","avenida presidente ernesto geisel    ",,,,"8",,,,"10",,,,,,,,,,,,,
"180040","2018-12-07","22:50","avenida manoel da costa lima    ","vila piratininga","colisão transversal",,,,"10",,,,,,,,,,,,,,,
"180041","2018-05-11","11:03","rua marcelo roberto interseccao em t","conjunto jose abrao","colisão transversal",,,,,,,,,,,"10",,,,,,"8",,
"180042","2018-01-09","12:59","avenida conde de boa vista    ","bairro santa emilia","outra",,"10",,"8",,,,,,,,,,,,,,,
"180043","2018-06-07","01:15","rua manoel inacio de souza 0","centro","choque",,,,,,,,,,,,,,,,,,,
"180044","2018-01-26","20:46","rua dr. nasri siufi    ","sao jorge da lagoa","colisão frontal",,"8",,,,,,,,,,,,,,,,,
"180045","2018-06-10","03:20","rua padua gazal    ","jardim aeroporto","choque",,"10",,,,,,,,,"8",,,,,,,,
"180046","2018-07-28","22:15","rua quinze de novembro proximo arthur jorge,n ? ","centro","tombamento",,,,,,,,,,,,,,,,,,,
"180047","2018-05-24","08:37","avenida guaicurus defronte ao numerzl ","jardim colibri","atropelamento",,,,,,,,,,,,,,,,,,,
"180048","2018-10-13","16:43","rua nova era ","itanhanga park","colisão transversal",,,,,,,,,,,,,,,,,,,
"180049","2018-04-01","18:00","avenida duque de caxias numero ","vila serradinho","atropelamento",,,,"8",,,,,,,,"10",,,,,,,
"180050","2018-06-18","22:14","rua jacutinga    ","morada verde","queda",,,,,,,,,,,"10",,,,,,,,
