CD_MUN,NM_MUN,pc_iluminacao,classe_ilu,tx_atropelamento,classe_obt,classe_bivariada
3504909,Bananal,87.78,Baixa,19.7843505786923,Média,Baixa_Média
3549953,São Lourenço da Serra,65.27,Baixa,36.4564345607,Alta,Baixa_Alta
3529658,Mesópolis,97.48,Alta,0.0,Baixa,Alta_Baixa
3547908,Santo Antônio da Alegria,92.72,Baixa,0.0,Baixa,Baixa_Baixa
3518206,Guararapes,99.35,Alta,12.5502008032129,Média,Alta_Média
3506904,Bofete,68.45,Baixa,9.3562874251497,Média,Baixa_Média
3546207,Santa Cruz da Conceição,96.24,Média,91.6380297823597,Alta,Média_Alta
3519303,Ibaté,94.45,Média,21.1416490486258,Média,Média_Média
3540002,Pompéia,96.56,Média,24.3759750390016,Alta,Média_Alta
3553401,Tanabi,95.44,Média,11.5291495330694,Média,Média_Média
3524907,Jambeiro,80.18,Baixa,30.4182509505703,Alta,Baixa_Alta
3523602,Itirapina,93.9,Baixa,24.3412645286923,Alta,Baixa_Alta
3555109,Tupi Paulista,98.17,Alta,0.0,Baixa,Alta_Baixa
3526100,Juquiá,92.5,Baixa,34.7725297015358,Alta,Baixa_Alta
3538204,Pinhalzinho,87.6,Baixa,0.0,Baixa,Baixa_Baixa
3546702,Santa Gertrudes,94.47,Média,37.3335545692123,Alta,Média_Alta
3500303,Aguaí,97.67,Alta,21.2843590367307,Média,Alta_Média
3523503,Itatinga,91.87,Baixa,10.2949503268647,Média,Baixa_Média
3539400,Piratininga,87.95,Baixa,12.8584287000129,Média,Baixa_Média
3545001,Salesópolis,87.68,Baixa,0.0,Baixa,Baixa_Baixa
3548302,Santo Expedito,95.36,Média,0.0,Baixa,Média_Baixa
3500402,Águas da Prata,95.74,Média,40.1606425702811,Alta,Média_Alta
3545605,Santa Adélia,96.87,Média,14.0815320706893,Média,Média_Média
3536901,Pedranópolis,91.27,Baixa,0.0,Baixa,Baixa_Baixa
3508603,Cachoeira Paulista,94.73,Média,27.7076534696139,Alta,Média_Alta
3500550,Águas de Santa Bárbara,85.7,Baixa,13.5007425408397,Média,Baixa_Média
3536604,Paulo de Faria,97.47,Alta,13.4589502018843,Média,Alta_Média
3517802,Guaraçaí,97.8,Alta,0.0,Baixa,Alta_Baixa
3501004,Altinópolis,97.13,Alta,29.1443226859408,Alta,Alta_Alta
3540408,Populina,98.02,Alta,23.89486260454,Alta,Alta_Alta
3513306,Cruzália,93.27,Baixa,0.0,Baixa,Baixa_Baixa
3530003,Mira Estrela,79.92,Baixa,0.0,Baixa,Baixa_Baixa
3513603,Cunha,87.97,Baixa,31.1720698254364,Alta,Baixa_Alta
3541208,Presidente Bernardes,96.93,Média,6.76956404007582,Baixa,Média_Baixa
3557303,Estiva Gerbi,94.56,Média,0.0,Baixa,Média_Baixa
3529807,Mineiros do Tietê,97.87,Alta,26.4340470526038,Alta,Alta_Alta
3539707,Platina,100.0,Alta,0.0,Baixa,Alta_Baixa
3535903,Paranapuã,98.04,Alta,0.0,Baixa,Alta_Baixa
3546900,Santa Lúcia,96.15,Média,13.9256370978972,Média,Média_Média
3534302,Orlândia,97.11,Alta,15.3088561732963,Média,Alta_Média
3554805,Tremembé,94.83,Média,26.3737919861349,Alta,Média_Alta
3552908,Taciba,98.44,Alta,0.0,Baixa,Alta_Baixa
3525854,Jumirim,76.02,Baixa,128.081972462376,Alta,Baixa_Alta
3534203,Orindiúva,93.73,Baixa,0.0,Baixa,Baixa_Baixa
3537156,Pedrinhas Paulista,99.02,Alta,0.0,Baixa,Alta_Baixa
3527405,Lucélia,97.31,Alta,24.5434910661693,Alta,Alta_Alta
3531209,Monte Alegre do Sul,92.24,Baixa,0.0,Baixa,Baixa_Baixa
3535606,Paraibuna,88.52,Baixa,16.7130919220056,Média,Baixa_Média
3554201,Tejupá,83.99,Baixa,0.0,Baixa,Baixa_Baixa
3545704,Santa Albertina,96.83,Média,0.0,Baixa,Média_Baixa
3543709,Rincão,98.45,Alta,0.0,Baixa,Alta_Baixa
3555307,Turmalina,98.68,Alta,0.0,Baixa,Alta_Baixa
3548203,Santo Antônio do Pinhal,75.32,Baixa,0.0,Baixa,Baixa_Baixa
3556354,Vargem,73.27,Baixa,27.76492364646,Alta,Baixa_Alta
3512704,Corumbataí,93.11,Baixa,23.3372228704784,Alta,Baixa_Alta
3539004,Pirangi,97.6,Alta,18.0570603105814,Média,Alta_Média
3508207,Buritizal,99.4,Alta,22.4870699347875,Alta,Alta_Alta
3512308,Conchas,90.92,Baixa,0.0,Baixa,Baixa_Baixa
3516606,Gália,70.78,Baixa,15.5400155400155,Média,Baixa_Média
3549250,São João de Iracema,97.03,Média,0.0,Baixa,Média_Baixa
3502002,Analândia,82.96,Baixa,0.0,Baixa,Baixa_Baixa
3519105,Iacanga,93.79,Baixa,28.2140505971974,Alta,Baixa_Alta
3531902,Morro Agudo,98.01,Alta,17.5063898322888,Média,Alta_Média
3527603,Luís Antônio,94.9,Média,15.9604181629559,Média,Média_Média
3511706,Charqueada,94.39,Média,18.9897455374098,Média,Média_Média
3510302,Capela do Alto,94.84,Média,25.4269610543713,Alta,Média_Alta
3510153,Canitar,85.52,Baixa,15.3280196198651,Média,Baixa_Média
3519402,Ibirá,88.98,Baixa,25.1382604323781,Alta,Baixa_Alta
3536000,Parapuã,96.5,Média,9.32053313449529,Média,Média_Média
3549409,São Joaquim da Barra,98.36,Alta,18.06684733514,Média,Alta_Média
3532306,Natividade da Serra,87.09,Baixa,0.0,Baixa,Baixa_Baixa
3555604,Uchoa,96.69,Média,0.0,Baixa,Média_Baixa
3556008,Urupês,97.76,Alta,0.0,Baixa,Alta_Baixa
3520806,Inúbia Paulista,96.67,Média,0.0,Baixa,Média_Baixa
3536570,Paulistânia,81.17,Baixa,0.0,Baixa,Baixa_Baixa
3534500,Oscar Bressane,100.0,Alta,39.9361022364217,Alta,Alta_Alta
3552700,Tabatinga,96.93,Média,20.0080032012805,Média,Média_Média
3522901,Itapuí,97.63,Alta,28.604118993135,Alta,Alta_Alta
3546009,Santa Branca,94.34,Média,7.03630734590487,Baixa,Média_Baixa
3532108,Murutinga do Sul,96.28,Média,26.5745415891576,Alta,Média_Alta
3527256,Lourdes,97.42,Alta,0.0,Baixa,Alta_Baixa
3512902,Cosmorama,96.24,Média,22.3015165031222,Alta,Média_Alta
3532702,Nipoã,87.89,Baixa,0.0,Baixa,Baixa_Baixa
3544806,Sales,97.32,Alta,30.2480338777979,Alta,Alta_Alta
3551108,Sarapuí,96.29,Média,0.0,Baixa,Média_Baixa
3516002,Flórida Paulista,95.35,Média,15.1848758636398,Média,Média_Média
3532207,Narandiba,97.4,Alta,0.0,Baixa,Alta_Baixa
3537503,Pereiras,93.31,Baixa,11.1495149960977,Média,Baixa_Média
3508306,Cabrália Paulista,96.5,Média,0.0,Baixa,Média_Baixa
3502606,Aparecida d'Oeste,98.65,Alta,48.4966052376334,Alta,Alta_Alta
3532405,Nazaré Paulista,77.59,Baixa,10.7411385606874,Média,Baixa_Média
3526506,Lavínia,97.33,Alta,0.0,Baixa,Alta_Baixa
3540804,Potirendaba,96.06,Média,5.26482046962199,Baixa,Média_Baixa
3552304,Sud Mennucci,98.55,Alta,0.0,Baixa,Alta_Baixa
3510708,Cardoso,88.46,Baixa,17.4049255939431,Média,Baixa_Média
3523305,Itariri,87.09,Baixa,25.3774901662226,Alta,Baixa_Alta
3509957,Canas,86.06,Baixa,19.8059021588433,Média,Baixa_Média
3503109,Arandu,39.91,Baixa,0.0,Baixa,Baixa_Baixa
3515194,Espírito Santo do Turvo,97.5,Alta,23.7135404315864,Alta,Alta_Alta
3505609,Barrinha,95.24,Média,21.0964105964257,Média,Média_Média
3504206,Auriflama,99.23,Alta,21.624738701074,Alta,Alta_Alta
3528205,Macedônia,90.29,Baixa,0.0,Baixa,Baixa_Baixa
3548401,Santópolis do Aguapeí,95.77,Média,25.4258835494533,Alta,Média_Alta
